WeekStarting,#7d7d7d,yellow,#663300,blue,red,white,green
01/03/24,1,1,0,0,1,0,0
01/09/24,0,0,1,1,0,0,0
01/16/24,1,1,0,0,0,0,0
01/23/24,0,0,1,0,0,0,0
01/30/24,1,1,0,0,0,0,0
02/06/24,0,0,1,1,0,0,0
02/13/24,1,1,0,0,0,0,0
02/20/24,0,0,1,0,0,0,0
02/27/24,1,1,0,0,0,0,0
03/05/24,0,0,1,1,0,1,0
03/12/24,1,1,0,0,0,0,0
03/19/24,0,0,1,0,0,0,0
03/25/24,1,1,0,0,1,0,0
04/03/24,0,0,1,1,1,0,0
04/09/24,1,1,0,0,0,0,0
04/16/24,0,0,1,0,0,0,0
04/20/24,0,0,0,0,0,0,1
04/23/24,1,1,0,0,0,0,0
04/30/24,0,0,1,1,0,0,0
05/07/24,1,1,0,0,0,0,0
05/14/24,0,0,1,0,0,0,0
05/22/24,1,1,0,0,1,0,0
05/28/24,0,0,1,1,0,0,0
06/04/24,1,1,0,0,0,1,0
06/11/24,0,0,1,0,0,0,0
06/18/24,1,1,0,0,0,0,0
06/25/24,0,0,1,1,0,0,0
07/02/24,1,1,0,0,0,0,0
07/09/24,0,0,1,0,0,0,0
07/16/24,1,1,0,0,0,0,0
07/23/24,0,0,1,1,0,0,0
07/30/24,1,1,0,0,0,0,0
08/06/24,0,0,1,0,0,0,0
08/13/24,1,1,0,0,0,0,0
08/20/24,0,0,1,1,0,0,0
08/27/24,1,1,0,0,0,0,0
09/03/24,0,0,1,0,0,0,0
09/10/24,1,1,0,0,0,1,0
09/17/24,0,0,1,1,0,0,0
09/24/24,1,1,0,0,0,0,0
10/01/24,0,0,1,0,0,0,0
10/08/24,1,1,0,0,0,0,0
10/15/24,0,0,1,1,0,0,0
10/22/24,1,1,0,0,0,0,0
10/29/24,0,0,1,0,0,0,0
11/05/24,1,1,0,0,0,0,0
11/09/24,0,0,0,0,0,0,1
11/12/24,0,0,1,1,0,0,0
11/19/24,1,1,0,0,0,0,0
11/26/24,0,0,1,0,0,1,0
12/03/24,1,1,0,0,0,0,0
12/10/24,0,0,1,1,0,0,0
12/17/24,1,1,0,0,0,0,0
12/23/24,0,0,1,0,1,0,0
12/31/24,1,1,0,0,0,0,0
